,pce,pop,psavert,uempmed,unemploy
0,507.4,198712,12.5,4.5,2944
1,510.5,198911,12.5,4.7,2945
2,516.3,199113,11.7,4.6,2958
3,512.9,199311,12.5,4.9,3143
4,518.1,199498,12.5,4.7,3066
5,525.8,199657,12.1,4.8,3018
6,531.5,199808,11.7,5.1,2878
7,534.2,199920,12.2,4.5,3001
8,544.9,200056,11.6,4.1,2877
9,544.6,200208,12.2,4.6,2709
10,550.4,200361,12.0,4.4,2740
11,556.8,200536,11.6,4.4,2938
12,563.8,200706,10.6,4.5,2883
13,567.6,200898,10.4,4.2,2768
14,568.8,201095,10.4,4.6,2686
15,572.3,201290,10.6,4.8,2689
16,577.4,201466,10.4,4.4,2715
17,577.2,201621,10.9,4.4,2685
18,584.2,201760,10.0,4.4,2718
19,589.5,201881,9.4,4.9,2692
20,589.7,202023,9.9,4.0,2712
21,594.7,202161,9.5,4.0,2758
22,601.1,202331,10.0,4.2,2713
23,601.7,202507,10.9,4.4,2816
24,603.5,202677,11.7,4.4,2868
25,610.8,202877,11.5,4.4,2856
26,614.1,203090,11.5,4.7,3040
27,619.4,203302,11.3,4.5,3049
28,621.4,203500,11.5,4.8,2856
29,623.7,203675,11.7,4.6,2884
30,629.6,203849,11.7,4.6,3201
31,634.9,204008,11.6,4.5,3453
32,633.2,204156,12.3,4.6,3635
33,637.0,204401,13.3,4.1,3797
34,643.4,204607,12.3,4.7,3919
35,647.2,204830,11.7,4.9,4071
36,649.5,205052,13.2,5.1,4175
37,653.9,205295,13.1,5.4,4256
38,660.1,205540,12.9,5.2,4456
39,659.3,205788,13.0,5.2,4591
40,657.6,206024,13.3,5.6,4898
41,666.6,206238,12.9,5.9,5076
42,677.2,206466,13.1,6.2,4986
43,680.4,206668,13.1,6.3,4903
44,683.0,206855,13.3,6.4,4987
45,689.8,207065,13.0,6.5,4959
46,692.2,207260,13.4,6.7,4996
47,700.8,207462,14.4,5.7,4949
48,699.9,207661,13.6,6.2,5035
49,706.0,207881,13.6,6.4,5134
50,714.1,208114,12.9,5.8,5042
51,716.9,208345,13.0,6.5,4954
52,722.1,208555,12.8,6.4,5161
53,729.6,208740,12.9,6.2,5154
54,732.6,208917,12.4,6.2,5019
55,737.3,209061,12.6,6.6,4928
56,750.4,209212,11.5,6.6,5038
57,753.8,209386,11.3,6.7,4959
58,759.2,209545,11.5,6.6,4922
59,762.9,209725,11.4,5.4,4923
60,771.2,209896,11.4,6.1,4913
61,777.7,210075,11.8,6.0,4939
62,782.5,210278,12.0,5.6,4849
63,796.3,210479,12.7,5.7,4875
64,801.8,210656,13.4,5.7,4602
65,807.5,210821,13.4,6.1,4543
66,817.9,210985,12.1,5.7,4326
67,827.2,211120,12.2,5.2,4452
68,834.2,211254,12.4,5.5,4394
69,837.2,211420,12.8,5.0,4459
70,843.1,211577,12.8,4.9,4329
71,845.8,211746,13.2,5.0,4363
72,855.7,211909,12.8,5.2,4305
73,854.9,212092,13.6,4.9,4305
74,870.9,212289,12.8,5.4,4350
75,869.8,212475,14.0,5.5,4144
76,878.6,212634,14.0,5.1,4396
77,878.4,212785,14.4,4.7,4489
78,886.4,212932,14.0,5.0,4644
79,891.6,213074,13.8,5.1,4731
80,903.3,213211,13.0,4.8,4634
81,912.7,213361,12.7,5.0,4618
82,924.3,213513,12.3,4.6,4705
83,929.9,213686,12.5,5.3,4927
84,939.8,213854,12.7,5.7,5063
85,956.6,214042,11.6,5.0,5022
86,956.8,214246,12.3,5.3,5437
87,961.0,214451,13.0,5.5,5523
88,958.0,214625,13.4,5.2,6140
89,963.6,214782,13.6,5.7,6636
90,977.4,214931,12.8,6.3,7501
91,991.3,215065,12.1,7.1,7520
92,992.6,215198,12.3,7.2,7978
93,997.2,215353,13.9,8.7,8210
94,1021.2,215523,17.0,9.4,8433
95,1029.1,215768,13.9,8.8,8220
96,1042.2,215973,12.3,8.6,8127
97,1049.4,216195,12.6,9.2,7928
98,1057.2,216393,12.6,9.2,7923
99,1063.2,216587,13.0,8.6,7897
100,1078.0,216771,12.3,9.5,7794
101,1094.4,216931,11.5,9.0,7744
102,1109.5,217095,11.3,9.0,7534
103,1110.1,217249,11.9,8.2,7326
104,1117.3,217381,11.8,8.7,7230
105,1127.8,217528,11.2,8.2,7330
106,1125.1,217685,11.8,8.3,7053
107,1142.9,217861,10.9,7.8,7322
108,1152.1,218035,11.2,7.7,7490
109,1160.5,218233,11.2,7.9,7518
110,1171.4,218440,10.8,7.8,7380
111,1179.5,218644,10.6,7.7,7430
112,1191.7,218834,10.9,8.4,7620
113,1214.1,219006,9.9,8.0,7545
114,1217.4,219179,9.8,7.5,7280
115,1233.7,219344,8.5,7.2,7443
116,1240.7,219504,9.8,7.2,7307
117,1249.7,219684,9.9,7.3,7059
118,1259.6,219859,9.8,7.9,6911
119,1266.3,220046,10.2,6.2,7134
120,1283.2,220239,10.1,7.1,6829
121,1288.5,220458,10.5,7.0,6925
122,1297.4,220688,10.7,6.7,6751
123,1314.3,220904,10.7,6.9,6763
124,1330.0,221109,10.8,7.0,6815
125,1339.3,221303,11.0,6.8,6386
126,1333.0,221477,11.4,6.5,6489
127,1358.9,221629,10.7,6.7,6318
128,1381.4,221792,10.5,6.2,6337
129,1400.2,221991,10.3,6.1,6180
130,1415.9,222176,9.8,5.7,6127
131,1429.8,222379,9.5,6.0,6028
132,1430.8,222585,10.3,5.8,6309
133,1451.0,222805,9.9,5.8,6080
134,1456.9,223053,10.0,5.6,6125
135,1471.0,223271,10.2,5.9,5947
136,1484.7,223477,10.0,5.5,6077
137,1500.5,223670,10.0,5.6,6228
138,1506.3,223865,10.6,5.9,6109
139,1521.6,224053,10.5,5.9,6173
140,1535.0,224235,10.7,5.9,6109
141,1542.3,224438,10.4,5.4,6069
142,1562.7,224632,9.8,5.6,5840
143,1579.6,224843,9.3,5.6,5959
144,1590.1,225055,10.0,5.9,5996
145,1619.7,225295,9.2,4.8,6320
146,1638.1,225547,8.9,5.5,6190
147,1646.0,225801,9.3,5.5,6296
148,1661.7,226027,9.4,5.3,6238
149,1670.7,226243,9.8,5.7,6325
150,1701.6,226451,9.6,5.3,6683
151,1705.6,226656,9.8,5.8,6702
152,1712.4,226849,9.8,6.0,6729
153,1699.5,227061,10.5,5.8,7358
154,1704.3,227251,10.6,5.7,7984
155,1723.0,227522,10.4,6.4,8098
156,1751.2,227726,10.5,7.0,8363
157,1767.7,227953,10.6,7.5,8281
158,1784.1,228186,11.1,7.7,8021
159,1820.4,228417,11.0,7.5,8088
160,1830.2,228612,11.5,7.7,8023
161,1855.5,228779,11.2,7.5,7718
162,1874.7,228937,10.5,7.4,8071
163,1889.4,229071,10.4,7.1,8051
164,1908.1,229224,10.3,7.1,7982
165,1909.1,229403,10.3,7.4,7869
166,1918.2,229575,10.4,6.9,8174
167,1938.5,229761,10.2,6.6,8098
168,1945.7,229966,11.7,7.1,7863
169,1969.8,230187,11.4,7.2,8036
170,1968.2,230412,11.9,6.8,8230
171,1966.2,230641,12.5,6.8,8646
172,1972.4,230822,12.7,6.9,9029
173,1989.9,230989,12.0,6.9,9267
174,1997.4,231157,12.2,7.1,9397
175,2021.4,231313,11.6,7.5,9705
176,2024.4,231470,11.7,7.7,9895
177,2027.2,231645,12.4,8.1,10244
178,2045.9,231809,11.7,8.5,10335
179,2050.2,231992,11.6,9.5,10538
180,2075.1,232188,12.0,8.5,10849
181,2083.7,232392,11.9,8.7,10881
182,2108.9,232599,11.1,9.5,11217
183,2130.7,232816,10.7,9.7,11529
184,2154.7,232993,10.3,10.0,11938
185,2167.4,233160,10.3,10.2,12051
186,2180.1,233322,10.4,11.1,11534
187,2183.1,233473,10.5,9.8,11545
188,2208.6,233613,10.0,10.4,11408
189,2231.8,233781,9.6,10.9,11268
190,2251.0,233922,9.4,12.3,11154
191,2280.8,234118,8.5,11.3,11246
192,2309.0,234307,9.0,10.1,10548
193,2324.8,234501,8.7,9.3,10623
194,2339.1,234701,9.0,9.3,10282
195,2361.8,234907,9.1,9.4,9887
196,2370.4,235078,9.7,9.3,9499
197,2397.9,235235,9.5,8.7,9331
198,2423.8,235385,9.4,9.1,9008
199,2408.1,235527,11.1,8.3,8791
200,2436.4,235675,10.9,8.3,8746
201,2462.6,235839,10.9,8.2,8762
202,2479.8,235993,10.5,9.1,8456
203,2501.2,236160,10.5,7.5,8226
204,2500.5,236348,11.0,7.5,8537
205,2518.4,236549,11.2,7.3,8519
206,2540.3,236760,11.2,7.6,8367
207,2538.2,236976,11.2,7.2,8381
208,2578.6,237159,10.3,7.2,8198
209,2590.0,237316,10.6,7.3,8358
210,2626.3,237468,9.7,6.8,8423
211,2648.6,237602,8.5,7.1,8321
212,2656.8,237732,8.1,7.1,8339
213,2668.4,237900,9.4,6.9,8395
214,2705.9,238074,10.5,6.9,8302
215,2699.3,238270,9.0,6.6,8460
216,2725.9,238466,8.5,6.9,8513
217,2762.7,238679,7.5,7.1,8196
218,2805.6,238898,6.7,6.9,8248
219,2767.1,239113,8.5,7.1,8298
220,2782.7,239307,8.4,7.0,8128
221,2822.8,239477,8.0,6.8,8138
222,2838.3,239638,8.0,6.7,7795
223,2831.2,239788,8.7,6.9,8402
224,2834.7,239928,9.3,6.8,8383
225,2846.5,240094,9.1,6.7,8364
226,2869.0,240271,8.6,6.8,8439
227,2873.5,240459,8.8,7.0,8508
228,2893.4,240651,8.7,6.9,8319
229,2911.1,240854,8.4,7.1,8135
230,2984.6,241068,6.6,7.4,8310
231,2945.9,241274,7.8,7.0,8243
232,2941.7,241467,8.2,7.1,8159
233,3010.8,241620,6.4,7.1,7883
234,2949.9,241784,9.1,6.9,7892
235,3016.5,241930,7.9,6.6,7865
236,3028.4,242079,7.9,6.6,7862
237,3054.1,242252,3.8,7.1,7542
238,3063.9,242423,7.5,6.6,7574
239,3088.4,242608,7.0,6.5,7398
240,3110.7,242804,6.8,6.5,7268
241,3147.0,243012,6.5,6.4,7261
242,3142.9,243223,7.0,6.0,7102
243,3151.1,243446,7.6,6.3,7227
244,3160.9,243639,7.9,6.2,7035
